scan_date,next_date,code,score,today_rise,today_close,next_open,next_close,rise_A,rise_B,rise_C
2025-11-27,2025-11-28,155A,3.31,-12.68,1487.0,1489.0,1472.0,-1.01,-1.14,0.13
2025-12-01,2025-12-02,5992,5.83,-11.65,3375.0,3375.0,3460.0,2.52,2.52,0.0
2025-12-01,2025-12-02,5721,5.23,-10.71,125.0,129.0,136.0,8.8,5.43,3.2
2025-12-02,2025-12-03,9973,5.61,-19.51,33.0,36.0,34.0,3.03,-5.56,9.09
2025-12-02,2025-12-03,3803,5.57,-11.18,564.0,534.0,537.0,-4.79,0.56,-5.32
2025-12-02,2025-12-03,3719,4.59,-20.22,296.0,296.0,298.0,0.68,0.68,0.0
2025-12-02,2025-12-03,4446,3.41,-22.82,1150.0,1107.0,1219.0,6.0,10.12,-3.74
2025-12-02,2025-12-03,7318,3.11,-16.08,1080.0,1081.0,1026.0,-5.0,-5.09,0.09
2025-12-03,2025-12-04,4592,5.75,-11.0,1562.0,1600.0,1643.0,5.19,2.69,2.43
2025-12-04,2025-12-05,9610,4.47,-33.03,223.0,207.0,224.0,0.45,8.21,-7.17
2025-12-05,2025-12-08,3691,4.76,-11.84,1362.0,1337.0,1445.0,6.09,8.08,-1.84
2025-12-08,2025-12-09,4664,5.08,-33.84,1165.0,1172.0,1231.0,5.67,5.03,0.6
2025-12-08,2025-12-09,4255,3.42,-12.09,1868.0,1863.0,1902.0,1.82,2.09,-0.27
2025-12-10,2025-12-11,198A,5.79,-15.79,224.0,232.0,291.0,29.91,25.43,3.57
2025-12-10,2025-12-11,3777,3.66,-10.64,42.0,43.0,43.0,2.38,0.0,2.38
2025-12-10,2025-12-11,5216,3.4,-11.17,175.0,172.0,198.0,13.14,15.12,-1.71
2025-12-11,2025-12-12,5817,4.95,-23.89,717.0,688.0,723.0,0.84,5.09,-4.04
2025-12-11,2025-12-12,3350,4.88,-12.32,420.0,430.0,442.0,5.24,2.79,2.38
2025-12-11,2025-12-12,4592,3.36,-11.17,1702.0,1689.0,1647.0,-3.23,-2.49,-0.76
2025-12-15,2025-12-16,4572,4.28,-15.45,312.0,320.0,392.0,25.64,22.5,2.56
2025-12-16,2025-12-17,9166,5.16,-15.74,605.0,613.0,659.0,8.93,7.5,1.32
2025-12-16,2025-12-17,7640,4.33,-13.82,212.0,212.0,210.0,-0.94,-0.94,0.0
2025-12-16,2025-12-17,4395,3.17,-11.46,1035.0,1046.0,1200.0,15.94,14.72,1.06
2025-12-17,2025-12-18,2743,5.66,-14.29,6.0,7.0,8.0,33.33,14.29,16.67
2025-12-17,2025-12-18,9235,5.55,-12.13,645.0,685.0,659.0,2.17,-3.8,6.2
2025-12-17,2025-12-18,3672,5.38,-12.28,50.0,50.0,51.0,2.0,2.0,0.0
2025-12-17,2025-12-18,4166,3.99,-16.96,1004.0,959.0,888.0,-11.55,-7.4,-4.48
2025-12-18,2025-12-19,5131,3.42,-10.88,172.0,177.0,190.0,10.47,7.34,2.91
2025-12-19,2025-12-22,4395,3.34,-10.76,1310.0,1500.0,1413.0,7.86,-5.8,14.5
2025-12-23,2025-12-24,5250,4.06,-17.11,1206.0,1199.0,1206.0,0.0,0.58,-0.58
2025-12-23,2025-12-24,4579,3.18,-11.24,932.0,937.0,982.0,5.36,4.8,0.54
2025-12-25,2025-12-26,363A,5.87,-14.83,2521.0,2549.0,2507.0,-0.56,-1.65,1.11
2025-12-25,2025-12-26,5707,5.36,-10.63,900.0,900.0,949.0,5.44,5.44,0.0
2025-12-25,2025-12-26,8995,3.0,-17.26,2157.0,1915.0,1657.0,-23.18,-13.47,-11.22
2025-12-29,2025-12-30,1673,5.14,-11.12,11110.0,10295.0,10835.0,-2.48,5.25,-7.34
2026-01-13,2026-01-14,5597,4.71,-10.63,1555.0,1578.0,1613.0,3.73,2.22,1.48
2026-01-13,2026-01-14,438A,3.24,-11.26,1482.0,1470.0,1386.0,-6.48,-5.71,-0.81
2026-01-16,2026-01-19,4422,5.5,-22.35,1320.0,1306.0,1332.0,0.91,1.99,-1.06
2026-01-16,2026-01-19,5698,4.97,-16.98,895.0,910.0,1045.0,16.76,14.84,1.68
2026-01-16,2026-01-19,4082,3.97,-18.02,3140.0,3140.0,3840.0,22.29,22.29,0.0
2026-01-20,2026-01-21,4596,5.96,-18.06,59.0,60.0,60.0,1.69,0.0,1.69
2026-01-20,2026-01-21,198A,4.54,-16.53,303.0,287.0,286.0,-5.61,-0.35,-5.28
2026-01-20,2026-01-21,8742,4.28,-10.86,476.0,452.0,458.0,-3.78,1.33,-5.04
2026-01-20,2026-01-21,7746,3.91,-10.69,1170.0,1020.0,1178.0,0.68,15.49,-12.82
2026-01-20,2026-01-21,4082,3.73,-18.68,3440.0,3040.0,3100.0,-9.88,1.97,-11.63
2026-01-20,2026-01-21,319A,3.68,-11.22,11320.0,11320.0,11250.0,-0.62,-0.62,0.0
2026-01-21,2026-01-22,6085,3.37,-10.96,382.0,383.0,367.0,-3.93,-4.18,0.26
2026-01-21,2026-01-22,5721,3.28,-12.71,158.0,150.0,148.0,-6.33,-1.33,-5.06
2026-01-22,2026-01-23,6166,3.64,-13.15,581.0,618.0,640.0,10.15,3.56,6.37
2026-01-26,2026-01-27,5216,5.44,-15.69,215.0,222.0,244.0,13.49,9.91,3.26
2026-01-26,2026-01-27,2338,4.72,-12.59,243.0,245.0,241.0,-0.82,-1.63,0.82
2026-01-29,2026-01-30,4422,5.41,-10.99,316.0,340.0,396.0,25.32,16.47,7.59
2026-02-02,2026-02-03,2033,5.08,-15.3,42910.0,48480.0,49910.0,16.31,2.95,12.98
2026-02-02,2026-02-03,6656,4.42,-13.97,659.0,679.0,647.0,-1.82,-4.71,3.03
2026-02-02,2026-02-03,2323,4.25,-11.04,411.0,422.0,446.0,8.52,5.69,2.68
2026-02-04,2026-02-05,7689,3.75,-13.27,451.0,458.0,460.0,2.0,0.44,1.55
2026-02-05,2026-02-06,6495,3.21,-11.97,206.0,208.0,207.0,0.49,-0.48,0.97
2026-02-09,2026-02-10,7711,5.44,-13.64,8420.0,8600.0,8140.0,-3.33,-5.35,2.14
2026-02-09,2026-02-10,5243,4.41,-10.25,2495.0,2510.0,2496.0,0.04,-0.56,0.6
2026-02-09,2026-02-10,2338,4.02,-12.5,175.0,175.0,171.0,-2.29,-2.29,0.0
2026-02-09,2026-02-10,8416,3.35,-11.02,1308.0,1280.0,1267.0,-3.13,-1.02,-2.14
2026-02-12,2026-02-13,3777,5.55,-18.75,65.0,63.0,64.0,-1.54,1.59,-3.08
2026-02-12,2026-02-13,8746,5.23,-10.68,460.0,435.0,466.0,1.3,7.13,-5.43
2026-02-12,2026-02-13,9348,3.74,-12.8,572.0,565.0,548.0,-4.2,-3.01,-1.22
2026-02-13,2026-02-16,4819,5.92,-10.95,1951.0,1971.0,1979.0,1.44,0.41,1.03
2026-02-13,2026-02-16,9830,5.81,-11.9,2421.0,2443.0,2332.0,-3.68,-4.54,0.91
2026-02-13,2026-02-16,4098,5.77,-10.48,1145.0,1129.0,1179.0,2.97,4.43,-1.4
2026-02-13,2026-02-16,5444,5.36,-10.46,11430.0,11730.0,11975.0,4.77,2.09,2.62
2026-02-13,2026-02-16,1815,5.14,-15.99,4730.0,4670.0,4735.0,0.11,1.39,-1.27
2026-02-13,2026-02-16,4013,4.75,-10.05,725.0,729.0,727.0,0.28,-0.27,0.55
2026-02-13,2026-02-16,4259,4.49,-18.22,736.0,708.0,739.0,0.41,4.38,-3.8
2026-02-13,2026-02-16,2980,4.33,-10.55,2755.0,2705.0,2682.0,-2.65,-0.85,-1.81
2026-02-13,2026-02-16,9399,4.32,-20.69,23.0,26.0,18.0,-21.74,-30.77,13.04
2026-02-13,2026-02-16,5741,3.93,-13.5,2690.0,2690.0,2497.0,-7.17,-7.17,0.0
2026-02-16,2026-02-17,9399,5.06,-30.77,18.0,19.0,22.0,22.22,15.79,5.56
2026-02-17,2026-02-18,9562,3.27,-10.73,2455.0,2460.0,2462.0,0.29,0.08,0.2
2026-02-18,2026-02-19,8746,5.65,-17.28,335.0,351.0,355.0,5.97,1.14,4.78
2026-02-18,2026-02-19,6167,5.26,-13.84,1370.0,1345.0,1304.0,-4.82,-3.05,-1.82
2026-02-18,2026-02-19,3446,4.87,-11.87,2050.0,2000.0,2184.0,6.54,9.2,-2.44
2026-02-18,2026-02-19,5381,4.54,-21.32,945.0,900.0,906.0,-4.13,0.67,-4.76
2026-02-18,2026-02-19,7022,4.12,-17.89,468.0,461.0,443.0,-5.34,-3.9,-1.5
2026-02-19,2026-02-20,4888,4.27,-10.78,389.0,382.0,396.0,1.8,3.66,-1.8
2026-02-19,2026-02-20,2962,4.07,-16.45,1011.0,880.0,915.0,-9.5,3.98,-12.96
2026-02-19,2026-02-20,485A,3.22,-10.51,3660.0,3590.0,3430.0,-6.28,-4.46,-1.91
2026-02-24,2026-02-25,4417,5.63,-12.23,2260.0,2261.0,2453.0,8.54,8.49,0.04
2026-02-24,2026-02-25,8746,4.97,-14.73,301.0,304.0,293.0,-2.66,-3.62,1.0
2026-02-24,2026-02-25,7063,4.81,-11.61,99.0,100.0,129.0,30.3,29.0,1.01
2026-02-24,2026-02-25,382A,4.51,-13.56,2002.0,2002.0,2004.0,0.1,0.1,0.0
2026-02-24,2026-02-25,6208,4.12,-10.64,2712.0,2662.0,2506.0,-7.6,-5.86,-1.84
2026-02-25,2026-02-26,5537,4.75,-10.72,3415.0,3345.0,3305.0,-3.22,-1.2,-2.05
