date,condition,ad_ratio,nikkei_change,up_count,down_count,strategy_a_success_rate
2026-03-03,PANIC,0.0961,-1.82,407,3712,5.0
2026-03-06,NORMAL,0.6938,0.66,2923,1056,20.0
2026-03-10,NORMAL,0.5907,0.29,2495,1494,55.0
2026-03-11,NORMAL,0.4106,-0.1,1734,2192,25.0
2026-03-12,WEAK,0.2007,-0.88,845,3133,30.0
2026-03-13,NORMAL,0.6129,0.29,2576,1336,25.0
2026-03-16,NORMAL,0.4383,0.0,1850,2079,30.0
2026-03-17,WEAK,0.3209,-0.34,1349,2568,40.0
2026-03-18,NORMAL,0.7505,0.85,3161,820,65.0
2026-03-19,PANIC,0.1691,-1.01,714,3316,30.0
2026-03-23,PANIC,0.1912,-1.06,810,3279,45.0
2026-03-24,NORMAL,0.4284,-0.06,1808,2146,40.0
2026-03-25,NORMAL,0.6225,0.36,2630,1353,65.0
2026-03-26,WEAK,0.2363,-0.65,997,2990,50.0
