code,name,総合スコア,指標1_トレンド,指標2_加速度,指標3_出来高比,🌱1日目,🚀2日目,実際の上昇率_%,ストップ高
7063,Birdman,10.0,84.09,1433.72,14.3,✅,✅,6.94,❌
5820,三ッ星,7.45,33.87,979.34,4.36,✅,✅,0.0,✅
7794,イーディーピー,6.38,45.48,4630.43,1.13,❌,✅,11.88,❌
3103,ユニチカ,5.05,27.53,177.33,1.57,❌,❌,7.8,❌
3133,海帆,4.33,31.51,19.56,3.41,✅,❌,8.24,❌
3993,PKSHA Technology,3.57,16.84,138.74,1.49,❌,❌,9.97,❌
3697,SHIFT,3.36,23.56,68.45,0.95,❌,❌,13.31,❌
5753,日本伸銅,3.33,1.36,290.0,0.9,❌,❌,13.99,✅
429A,テクセンドフォトマスク,2.41,16.81,38.08,1.04,❌,❌,13.64,❌
4180,Appier Group,1.36,5.53,12.31,2.06,✅,❌,9.5,❌
5727,東邦チタニウム,1.05,5.36,27.67,0.72,❌,❌,0.0,✅
5817,JMACS,-0.18,-2.7,-19.84,0.87,❌,❌,19.82,❌
9980,MRKホールディングス,-0.25,-1.7,-34.11,0.78,❌,❌,23.0,✅
6613,QDレーザ,-0.84,-6.82,-36.18,0.61,❌,❌,11.99,✅
195A,MUSCAT GROUP,-0.91,-27.63,81.71,3.11,❌,❌,20.55,✅
4596,窪田製薬HD,-1.94,-17.41,-32.65,0.39,❌,❌,12.68,❌
7946,光陽社,-2.12,-51.42,260.0,1.27,❌,❌,-4.83,❌
4360,マナック・ケミカル,-2.47,-18.54,-71.25,0.28,❌,❌,15.62,✅
2962,テクニスコ,-6.27,-57.78,-66.44,0.53,❌,❌,17.38,✅
